alpha,mode,use_networkx,n,d,outlier_scale,exp_single_dL,exp_single_lambda,exp_list_T,exp_list_R,exp_list_lambda,ols_err,ols_mse,ridge_err,ridge_mse,huber_err,huber_mse,ransac_err,ransac_mse,theilsen_err,theilsen_mse,exp_single_err,exp_single_mse,exp_list_num_cands,exp_list_best_err,exp_list_best_mse
0.3,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.728131808056537,7.803070601588164,10,0.697801266127236,0.5027261142793489
0.2,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.142505180314581,10.252459498765829,3.14298817839184,10.256108863942172,2.777977710745064,7.990192982607294,6.000662819870932,34.136820586602,3.114018207162844,10.080887298257563,3.136003749063984,10.210687980149377,10,1.26772928308235,1.6214025635449845
0.1,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.619798573881083,13.717453136534841,3.6208408774862644,13.726701743599778,3.4909746711581278,12.75800773053537,7.110518369527179,50.53779853157501,3.563900308934762,13.239819921851604,3.634950198580807,13.824590919183786,10,2.915706751110872,8.626440448493927
0.4,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.342422925463703,5.733209369398308,2.342086927022399,5.731015478760874,1.244883999979076,1.6193919466907536,3.7806074068297724,14.460806557412642,2.247875242071202,5.236349183604501,2.3410587551136937,5.725081369810493,10,0.6365975589453949,0.4062971501044597
0.3,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.7119426328510685,7.7036056167843086,10,0.9279891750216173,0.8560696688977155
0.2,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.142505180314581,10.252459498765829,3.14298817839184,10.256108863942172,2.777977710745064,7.990192982607294,6.000662819870932,34.136820586602,3.114018207162844,10.080887298257563,3.159783980790556,10.371182651080456,10,1.65745754238348,2.914522085227918
0.1,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.619798573881083,13.717453136534841,3.6208408774862644,13.726701743599778,3.4909746711581278,12.75800773053537,7.110518369527179,50.53779853157501,3.563900308934762,13.239819921851604,3.6248876995465444,13.76266262325235,10,3.067582771209798,10.048338114318454
0.4,uniform,0,5000,20,10.0,2,0.0001,7,15,0.001,2.342422925463703,5.733209369398308,2.342086927022399,5.731015478760874,1.244883999979076,1.6193919466907536,3.7806074068297724,14.460806557412642,2.247875242071202,5.236349183604501,2.36382724075157,5.84578398992456,15,0.6209407597671208,0.38616918441814857
0.3,uniform,0,5000,20,10.0,2,0.0001,7,15,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.728131808056537,7.803070601588164,15,0.697801266127236,0.5027261142793489
0.2,uniform,0,5000,20,10.0,2,0.0001,7,15,0.001,3.142505180314581,10.252459498765829,3.14298817839184,10.256108863942172,2.777977710745064,7.990192982607294,6.000662819870932,34.136820586602,3.114018207162844,10.080887298257563,3.136003749063984,10.210687980149377,15,1.26772928308235,1.6214025635449845
0.1,uniform,0,5000,20,10.0,2,0.0001,7,15,0.001,3.619798573881083,13.717453136534841,3.6208408774862644,13.726701743599778,3.4909746711581278,12.75800773053537,7.110518369527179,50.53779853157501,3.563900308934762,13.239819921851604,3.634950198580807,13.824590919183786,15,2.915706751110872,8.626440448493927
0.4,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.342422925463703,5.733209369398308,2.342086927022399,5.731015478760874,1.244883999979076,1.6193919466907536,3.7806074068297724,14.460806557412642,2.247875242071202,5.236349183604501,2.36382724075157,5.84578398992456,10,0.738483750942308,0.565982880332743
0.3,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.728131808056537,7.803070601588164,10,0.697801266127236,0.5027261142793489
0.2,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.142505180314581,10.252459498765829,3.14298817839184,10.256108863942172,2.777977710745064,7.990192982607294,6.000662819870932,34.136820586602,3.114018207162844,10.080887298257563,3.136003749063984,10.210687980149377,10,1.26772928308235,1.6214025635449845
0.1,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.619798573881083,13.717453136534841,3.6208408774862644,13.726701743599778,3.4909746711581278,12.75800773053537,7.110518369527179,50.53779853157501,3.563900308934762,13.239819921851604,3.634950198580807,13.824590919183786,10,2.915706751110872,8.626440448493927
0.4,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.342422925463703,5.733209369398308,2.342086927022399,5.731015478760874,1.244883999979076,1.6193919466907536,3.7806074068297724,14.460806557412642,2.247875242071202,5.236349183604501,2.36382724075157,5.84578398992456,10,0.738483750942308,0.565982880332743
0.3,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.728131808056537,7.803070601588164,10,0.697801266127236,0.5027261142793489
0.2,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.142505180314581,10.252459498765829,3.14298817839184,10.256108863942172,2.777977710745064,7.990192982607294,6.000662819870932,34.136820586602,3.114018207162844,10.080887298257563,3.136003749063984,10.210687980149377,10,1.26772928308235,1.6214025635449845
0.1,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.619798573881083,13.717453136534841,3.6208408774862644,13.726701743599778,3.4909746711581278,12.75800773053537,7.110518369527179,50.53779853157501,3.563900308934762,13.239819921851604,3.634950198580807,13.824590919183786,10,2.915706751110872,8.626440448493927
0.4,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.342422925463703,5.733209369398308,2.342086927022399,5.731015478760874,1.244883999979076,1.6193919466907536,3.7806074068297724,14.460806557412642,2.247875242071202,5.236349183604501,2.36382724075157,5.84578398992456,10,0.738483750942308,0.565982880332743
0.3,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.728131808056537,7.803070601588164,10,0.697801266127236,0.5027261142793489
0.4,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.342422925463703,5.733209369398308,2.342086927022399,5.731015478760874,1.244883999979076,1.6193919466907536,3.7806074068297724,14.460806557412642,2.247875242071202,5.236349183604501,2.36382724075157,5.84578398992456,10,0.738483750942308,0.565982880332743
0.3,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.728131808056537,7.803070601588164,10,0.697801266127236,0.5027261142793489
0.2,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.142505180314581,10.252459498765829,3.14298817839184,10.256108863942172,2.777977710745064,7.990192982607294,6.000662819870932,34.136820586602,3.114018207162844,10.080887298257563,3.136003749063984,10.210687980149377,10,1.26772928308235,1.6214025635449845
0.1,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.619798573881083,13.717453136534841,3.6208408774862644,13.726701743599778,3.4909746711581278,12.75800773053537,7.110518369527179,50.53779853157501,3.563900308934762,13.239819921851604,3.634950198580807,13.824590919183786,10,2.915706751110872,8.626440448493927
0.4,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.342422925463703,5.733209369398308,2.342086927022399,5.731015478760874,1.244883999979076,1.6193919466907536,3.7806074068297724,14.460806557412642,2.247875242071202,5.236349183604501,2.36382724075157,5.84578398992456,10,0.738483750942308,0.565982880332743
0.3,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.728131808056537,7.803070601588164,10,0.697801266127236,0.5027261142793489
0.2,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.142505180314581,10.252459498765829,3.14298817839184,10.256108863942172,2.777977710745064,7.990192982607294,6.000662819870932,34.136820586602,3.114018207162844,10.080887298257563,3.136003749063984,10.210687980149377,10,1.26772928308235,1.6214025635449845
0.1,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.619798573881083,13.717453136534841,3.6208408774862644,13.726701743599778,3.4909746711581278,12.75800773053537,7.110518369527179,50.53779853157501,3.563900308934762,13.239819921851604,3.634950198580807,13.824590919183786,10,2.915706751110872,8.626440448493927
